TEC No.,Common Part Name,MGO Part Name & Tech Example DMU
101,Sunroof Headliner Substrate (Headliner Trim only),PANEL ASM-SUN RF PNL TR
102,Steering column & I-Shaft ,COLUMN ASM-STRG (W/ INT STRG??SHFT)????????????????????????
103,Knee Bolster,BOLSTER ASM-I/P KNEE or PANEL ASM-I/P DRVR KNEE BOLS
104,Glove Compartment or Glove Box,COMPARTMENT ASM-I/P (W/ DOOR) or DOOR ASM-I/P COMPT
105,IP Lower Trim Panel,PANEL ASM-I/P LWR TR
106,Steering Wheel,WHEEL ASM-STRG
107,IP Cluster,CLUSTER ASM-INST
108,Radio,RADIO ASM-AM/FM STEREO & AUDIO DISC PLYR
109,Starter,STARTER ASM
110,Air cleaner,CLEANER ASM-AIR (W/ MASS      AIRFLOW SEN)
111,Shift Control (AT or MT Shifter),CONTROL ASM-A/TRNS or CONTROL ASM-M/TRNS (W/O SHFT  PATT)
112,Halfshafts LH/RH,SHAFT ASM-FRT WHL DRV
113,Fuel Filler Pipe,PIPE ASM-F/TNK FIL
114,Spare Tire/Wheel Asm,WHEEL ASM-16X4 COMPACT SPA or TIRE-T145/70R17 106M COMPACT SPARE
115,Park Brake Lever,LEVER ASM-PARK BRK
116,Brake Apply / Booster ,CYLINDER ASM-BRK MAS (W/ P/B  BOOS) or BOOSTER ASM-P/B
117,Tire Repair Kit (Tool & Jack Kit),COMPARTMENT ASM-TOOL STOW or JACK ASM
118,Compressor,COMPRESSOR ASM-A/C (W/O CLU)
119,Floor Console Extensions LH/RH,PANEL ASM-F/FLR CNSL EXTN or EXTENSION ASM-F/FLR CNSL
120,Rear Compartment Trim,CARPET ASM-R/CMPT FLR PNL or TRIM ASM-R/CMPT FLR PNL
121,Luggage Shade Cover or Rear Window Panel,SHADE ASM-LUGG or TRIM ASM-R/WDO PNL
122,Dash Panel Outer Insulator ASM,INSULATOR ASM-DA PNL OTR or BARRIER ASM-DA PNL SND
123,Hood Insulator,INSULATOR-HOOD
124,Driver Airbag,MODULE ASM-INFL RST STRG WHL
125,Passenger Airbag,MODULE ASM-INFL RST I/P
126,Roof Rail Airbag LH/RH,MODULE ASM-INFL RST RF S/RL
127,Fuel Filler Door,DOOR-F/TNK FIL
128,Door Handles (Exterior) LH/RH & Frt/Rr,HANDLE ASM-FRT & RR S/D O/S
129,Front Door Window Regulator LH/RH,REGULATOR ASM-FRT S/D WDO
130,Glass (front door) LH/RH,WINDOW ASM-FRT S/D
131,Front Side Door Window Weatherstrip ASM LH/RH,WEATHERSTRIP ASM-FRT S/D WDO OTR
132,Front Side Door Window Garnish LH/RH,MOLDING ASM-FRT S/D WDO GARN or MOLDING ASM-FRT S/D WDO UPR   RVL
133,Rear Door Window Regulator LH/RH,REGULATOR ASM-RR S/D WDO
134,Glass (rear door) LH/RH,WINDOW ASM-RR S/D
135,Rear Side Door Window Weatherstrip ASM LH/RH,WEATHERSTRIP ASM-RR S/D WDO
136,Rear Side Door Window Garnish LH/RH,MOLDING ASM-RR S/D WDO GARN or MOLDING ASM-RR S/D WDO UPR RVL
137,Glass quarter window LH/RH,WINDOW ASM-RR S/D STA (W/ RR  S/D WDO W/S or WINDOW ASM-QTR or WINDOW ASM-BODY SI
138,Rocker Panel LH/RH,MOLDING ASM-RKR PNL
139,Air Inlet Grille,PANEL ASM-AIR INL GRL or SCREEN ASM-AIR INL
140,Front Wiper Module LH/RH,MODULE ASM-WSW SYS
141,Washer container,CONTAINER ASM-WSWA SOLV (W/   PUMP & SOLV
142,Luggage Carrier,RAIL ASM-LUGG CARR SI
143,Spoiler,SPOILER ASM-R/END
144,Wiring Harness - ECM & Engine,HARNESS ASM-ECM & ENG WRG
