Supplier Duns,Supplier Name,Pick Up Loaction,State,City,ZIP CODE,Kilometers,Rate,CPC
964625888,Flex N Gate Battle Creek LLC,"10250 F DRIVE NORTH, Battle Creek, MI 49014",MI,"Battle, Creek",49014,217.6,0.34,73.98
78701744,Janesville Acoustics,"2500 LOGISTICS DR, BATTLE CREEK, MI 49037",MI,"Battle Creek, MI ",49037,223.9,0.34,76.13
147754931,DENSO MANUFACTURING - MI,"ONE DENSO RD, Battle Creek, MI  49015",MI,Battle Creek,49015,223.9,0.34,76.13
151369881,DENSO INTERNATIONAL,"ONE DENSO RD, Battle Creek, MI  49015",MI,Battle Creek,49015,223.9,0.34,76.13
78745238,MITEC POWERTRAIN,4000 Fostoria Ave,OH,Findlay,45840,225.3,0.21,47.31
968073564,Mitec,4000 Fostoria Ave,OH,Findlay,45840,225.3,0.21,47.31
299909,Findlay Products,"2045 Industrial Drive,",OH,Findlay,45839,226.9,0.21,47.65
798685590,AUTOPLAS INC,560 Goodrich Rd,OH,Bellevue,44811,226.9,0.21,47.65
6015382,HUTCHINSON ANTIVIBRATION SYSTEMS,460 FULLER AVE NE GRAND RAPIDS MICHIGAN 495031912 UNITED STATES,MI,"Grand Rapids, MI",49503,241.9,0.34,82.25
6016810,Grand Rapids Label Company,"2351 Oak Industrial Drive  Grand Rapids, MI  49505",MI,"Grand Rapids, mi",49505,241.9,0.34,82.25
187856,Bose Corp,"3712 Quincy, Hudsonville, MI 49426",MI,"Hudson, MI",49426,252.6,0.34,85.88
50476923,BOSE CORP,"3712 Quincy, Hudsonville, MI 49426",MI,"Hudson, MI",49426,252.6,0.34,85.88
78315113,Mann Hummel,6400 S. Sprinkle Road,MI,Portage,49002,252.7,0.34,85.92
962567629,GENTEX CORPORATION,"310 E. Riley Street, Zeeland, MI 49464",MI,"Zeeland, MI",49464,273.4,0.34,92.96
141903,HYDRO AUTOMOTIVE,"533 Ottawa Ave., Holland, MI 49423",MI,"Holland, mi",49423,281.5,0.34,95.71
78626570,MAGNA MIRRORS OF AMERICA INC,"414 E 40TH ST, HOLLAND, MI  49423",MI,"HOLLAND, MI",49423,281.5,0.34,95.71
801685900,L&W Engineering,"808 East 32nd Street, Holland, MI 49422",MI,"Holland, MI",49422,281.5,0.34,95.71
883459596,Magna Donnelly Corporation,"3575 128th Ave, Holland, MI 49424",MI,"Holland, mi",49424,281.5,0.34,95.71
299891,Progressive Stamping,200 Progressive Dr. ,OH,Ottoville,45876,284.9,0.21,59.82
808533413,Sahtki,"14638 APPLE DR, Fruitport, MI  49415",MI,"Fruitport, MI",49415,288,0.34,97.92
796672926,BURNSIDE ACQUISITION LLC,"6830 Grand Haven RD,Spring Lake,MI,49456",MI,"Spring, Lake",49456,292.9,0.34,99.59
838509636,TOLEDO MOLDING & DIE INC,24086 OHIO 697,OH,Delphos,45833,294.5,0.21,61.85
62222047,MICHIGAN RUBBER PROD,"1200 8TH AVE, CADILLAC, MI  49601",MI,"Cadillac, MI",49601,295.3,0.34,100.40
781356795,FIAMM TECHNOLOGIES INC,"1550 LEESON ST, Cadillac, MI  49601",MI,"Cadillac, MI",49601,295.3,0.34,100.40
4154415, A.J. ROSE MANUFACTURING,38000 CHESTER ROAD,OH,Avon,44011,297.7,0.21,62.52
680072377,Michigan Spring and Stamping,2700 Wikham Drive,MI,"Muskegon, MI",49441,302.6,0.34,102.88
94565165,Creative 3 Foam Corporation,"55210 Rudy Road,Dowagiac, Michigan  49047",MI,"Michigan, Michigan",49047,316.6,0.34,107.64
86663101,General Motors LLC/Parma,5400 Chevrolet Blvd.,OH,Parma,44130,318.6,0.21,66.92
5069901,New Products Corporation,"448 N. Shore Dr. Benton Harbor, MI 49022",MI,"Benton Harbor, MI",49022,325.6,0.34,110.70
118712843,HILITE INTERNATIONAL,"2001 peach street whitehall, MI 49461 USA",MI,"Whitehall, MI",49461,331,0.34,112.54
43352038,Grand Traverse Plastics Corp,"5780 Moore Road, Williamsburg MI 49690",MI,"WILLIAMSBURG, MI",49690,352.3,0.34,119.78
46524567,Flex Technologies,16183 E MAIN ST,OH,Eaton,44659,355.7,0.21,74.69
240919712,Automation Tooling Systems,425 Enterprise Drive,OH,Lewis Center ,43035,355.7,0.21,74.69
432090,Goodyear Tire & Rubber Company,200 Innovation Way,OH,Akron,44316,366.9,0.21,77.06
60422193,ASC Industries,2100 International Parkway,OH,North Canton,44720,386.2,0.21,81.11
883267494," Mahle Behr Dayton, L.L.C",1600 Webster Street,OH,Dayton,45404,391.1,0.21,82.12
43933931,THK AMERICA,471 N. HIGH STREET,OH,Hebron,43025,395.9,0.21,83.14
80161136,DLH Industries Inc,2422 LEO AVE,OH,Canton,44706,403.9,0.21,84.83
4299418,Mid West Fabrication Co.,313 North Johns Street,OH,Amanda,43102,444.2,0.21,93.28
175597137,New Sabina Industries INC,12555 E US RTE 22 & STATE,OH,Sabina,45169,457.1,0.21,95.98
9755075,VALEO CLIMATE,3620 Symmes Rd.,OH,Hamilton,45013,465.1,0.21,97.67
